_step,Train F1,Train Loss,Test Sensitivity,Test Specificity,Train Sensitivity,Test F1,Train Accuracy,_runtime,_timestamp,Test Loss,Test Accuracy,Train Specificity
1792,0.8787878787878788,0.30143433809280396,0.7669902912621359,0.8144329896907216,0.8252032520325203,0.79,0.8793103448275862,683.951110124588,1751664582.467143,0.5338923335075378,0.79,0.9403669724770642
1793,0.8955223880597015,0.2996654063463211,0.7766990291262136,0.7938144329896907,0.8536585365853658,0.7881773399014779,0.8943965517241379,684.3155708312988,1751664582.8316038,0.5359599590301514,0.785,0.9403669724770642
1794,0.8944099378881988,0.29968103766441345,0.7766990291262136,0.7938144329896907,0.8780487804878049,0.7881773399014779,0.8900862068965517,684.678653717041,1751664583.1946867,0.5426976680755615,0.785,0.9036697247706422
1795,0.8968421052631579,0.2997886538505554,0.7766990291262136,0.7938144329896907,0.8658536585365854,0.7881773399014779,0.8943965517241379,685.0436391830444,1751664583.559672,0.5389020442962646,0.785,0.926605504587156
1796,0.8945147679324894,0.30002346634864807,0.7766990291262136,0.7938144329896907,0.8617886178861789,0.7881773399014779,0.8922413793103449,685.4076814651489,1751664583.9237144,0.5382259488105774,0.785,0.926605504587156
1797,0.886021505376344,0.2948783189058304,0.7766990291262136,0.8144329896907216,0.8373983739837398,0.7960199004975125,0.8857758620689655,685.7718160152435,1751664584.287849,0.5346383452415466,0.795,0.9403669724770642
1798,0.8983050847457628,0.298061266541481,0.7766990291262136,0.7938144329896907,0.8617886178861789,0.7881773399014779,0.896551724137931,686.1370577812195,1751664584.6530907,0.5372745394706726,0.785,0.9357798165137615
1799,0.8866396761133604,0.3017982542514801,0.7766990291262136,0.7525773195876289,0.8902439024390244,0.7729468599033816,0.8793103448275862,686.5008890628815,1751664585.016922,0.553571879863739,0.765,0.8669724770642202
1800,0.8902439024390244,0.3011411130428314,0.7766990291262136,0.7525773195876289,0.8902439024390244,0.7729468599033816,0.8836206896551724,686.8710606098175,1751664585.3870935,0.5529730916023254,0.765,0.8761467889908257
1801,0.8616071428571429,0.3178310692310333,0.7087378640776699,0.8556701030927835,0.7845528455284553,0.7684210526315789,0.8663793103448276,687.2369136810303,1751664585.7529466,0.5398704409599304,0.78,0.9587155963302753
1802,0.8406466512702079,0.35102181136608124,0.6504854368932039,0.8762886597938144,0.7398373983739838,0.7362637362637363,0.8512931034482759,687.6016747951508,1751664586.1177077,0.5562770962715149,0.76,0.9770642201834863
1803,0.8653421633554084,0.3103259950876236,0.7475728155339806,0.8350515463917526,0.7967479674796748,0.7857142857142857,0.8685344827586207,687.9667541980743,1751664586.4827871,0.5348436236381531,0.79,0.9495412844036697
1804,0.876984126984127,0.31200461089611053,0.8058252427184466,0.7010309278350515,0.8983739837398373,0.772093023255814,0.8663793103448276,688.3318798542023,1751664586.8479128,0.5707982778549194,0.755,0.8302752293577982
1805,0.878727634194831,0.31093233823776245,0.8058252427184466,0.7010309278350515,0.8983739837398373,0.772093023255814,0.8685344827586207,688.6999092102051,1751664587.2159421,0.5706030130386353,0.755,0.8348623853211009
1806,0.8708971553610503,0.3029731810092926,0.7669902912621359,0.8247422680412371,0.8089430894308943,0.7939698492462312,0.8728448275862069,689.0671734809875,1751664587.5832064,0.5358483791351318,0.795,0.944954128440367
1807,0.8836206896551724,0.2952270358800888,0.7669902912621359,0.8041237113402062,0.8333333333333334,0.7860696517412935,0.8836206896551724,689.4327869415283,1751664587.9488199,0.5354393124580383,0.785,0.9403669724770642
